pais,IDH,expect_vida,escolaridade_media,GNI_per_capita,pop_total,densidade_pop,pop_idade,pop_urbana,acesso_eletricidade,chegada_turistas,gasto_saude_per_capita
NORWAY,0.95,82.27,12.57,68058.62,5421241.0,15.0,40.0,0.83,1.0,5688000.0,7936.38
SWITZERLAND,0.95,83.63,13.38,59374.73,8654622.0,219.0,43.0,0.74,1.0,10362000.0,9956.26
IRELAND,0.94,82.1,12.53,55659.68,4937786.0,72.0,38.0,0.63,1.0,10926000.0,4976.86
GERMANY,0.94,81.18,14.13,46945.95,83783942.0,240.0,46.0,0.76,1.0,38881000.0,5033.45
AUSTRALIA,0.94,83.28,12.68,44097.02,25499884.0,3.0,38.0,0.86,1.0,9246000.0,5331.82
ICELAND,0.94,82.86,12.54,47566.45,341243.0,3.0,37.0,0.94,1.0,2343800.0,6086.31
SWEDEN,0.94,82.65,12.43,47955.45,10099265.0,25.0,41.0,0.88,1.0,7440000.0,5904.58
NETHERLANDS,0.93,82.14,12.19,50012.59,17134872.0,508.0,43.0,0.92,1.0,18780000.0,4911.44
DENMARK,0.93,80.78,12.59,48836.09,5792202.0,137.0,42.0,0.88,1.0,12749000.0,5800.15
FINLAND,0.93,81.74,12.44,41779.26,5540720.0,18.0,43.0,0.86,1.0,3224000.0,4205.74
CANADA,0.92,82.32,13.32,43602.25,37742154.0,4.0,41.0,0.81,1.0,21134000.0,4754.95
NEW ZEALAND,0.92,82.14,12.68,35107.5,4822233.0,18.0,38.0,0.87,1.0,3686000.0,3937.22
UNITED KINGDOM,0.92,81.24,12.95,39507.29,67886011.0,281.0,40.0,0.83,1.0,36316000.0,3858.67
UNITED STATES,0.92,78.85,13.41,56140.23,331002651.0,36.0,38.0,0.83,1.0,79745920.0,10246.14
BELGIUM,0.92,81.47,11.78,43820.84,11589623.0,383.0,42.0,0.98,1.0,9119000.0,4507.36
JAPAN,0.91,84.47,12.8,40799.01,126476461.0,347.0,48.0,0.92,1.0,31192000.0,4168.99
AUSTRIA,0.91,81.43,12.56,46230.57,9006398.0,109.0,43.0,0.57,1.0,30816000.0,4939.88
LUXEMBOURG,0.91,82.1,12.2,65543.05,625978.0,242.0,40.0,0.88,1.0,1018000.0,5782.63
ISRAEL,0.91,82.82,12.96,33649.69,8655535.0,400.0,30.0,0.93,1.0,4121000.0,3144.63
SLOVENIA,0.9,81.17,12.27,32143.04,2078938.0,103.0,45.0,0.55,1.0,4425000.0,1920.28
SPAIN,0.89,83.43,9.82,35041.3,46754778.0,94.0,45.0,0.8,1.0,82773000.0,2506.46
FRANCE,0.89,82.54,11.42,40510.78,65273511.0,119.0,42.0,0.82,1.0,89322000.0,4379.73
MALTA,0.89,82.38,11.29,34795.18,441543.0,1380.0,43.0,0.93,1.0,2599000.0,2585.56
ITALY,0.88,83.35,10.25,36141.43,60461826.0,206.0,47.0,0.69,1.0,61567200.0,2840.13
ESTONIA,0.88,78.57,13.03,30378.63,1326535.0,31.0,42.0,0.68,1.0,3234000.0,1300.48
CYPRUS,0.87,80.83,12.1,33100.32,1207359.0,131.0,37.0,0.67,1.0,3939000.0,1731.69
GREECE,0.87,82.07,10.54,24909.34,10423054.0,81.0,46.0,0.85,1.0,30123000.0,1516.59
POLAND,0.87,78.54,12.29,27625.8,37846611.0,124.0,42.0,0.6,1.0,19622000.0,906.82
LITHUANIA,0.87,75.74,12.96,29775.26,2722289.0,43.0,45.0,0.71,1.0,2825000.0,1078.18
UNITED ARAB EMIRATES,0.87,77.81,10.95,66911.66,9890402.0,118.0,33.0,0.86,1.0,21286000.0,1357.02
SAUDI ARABIA,0.86,75.0,9.67,49338.41,34813871.0,16.0,32.0,0.84,1.0,15334000.0,1093.41
LATVIA,0.85,75.17,12.83,26300.77,1886198.0,30.0,44.0,0.69,1.0,1946000.0,930.35
PORTUGAL,0.85,81.86,9.19,27935.38,10196709.0,111.0,46.0,0.66,1.0,16186000.0,1908.03
QATAR,0.85,80.1,9.67,110488.74,2881053.0,248.0,32.0,0.96,1.0,1819300.0,1649.19
CHILE,0.85,80.04,10.45,21972.28,19116201.0,26.0,35.0,0.85,1.0,5723000.0,1381.99
HUNGARY,0.84,76.7,11.89,27144.21,9660351.0,107.0,43.0,0.72,1.0,17552000.0,981.42
BAHRAIN,0.84,77.16,9.41,40399.12,1701575.0,2239.0,32.0,0.89,1.0,12045000.0,1127.19
CROATIA,0.84,78.34,11.41,23060.96,4105267.0,73.0,44.0,0.58,1.0,16645000.0,902.14
OMAN,0.83,77.63,9.73,37039.23,5106626.0,16.0,31.0,0.87,1.0,2301000.0,587.65
ARGENTINA,0.83,76.52,10.56,17611.22,45195774.0,17.0,32.0,0.93,1.0,6942000.0,1324.6
BELARUS,0.82,74.59,12.31,17038.53,9449323.0,47.0,40.0,0.79,1.0,11501600.0,342.5
KAZAKHSTAN,0.82,73.24,11.78,22167.7,18776707.0,7.0,31.0,0.58,1.0,8789000.0,279.65
BULGARIA,0.82,74.93,11.81,19645.94,6948445.0,64.0,45.0,0.76,1.0,9273000.0,663.72
ROMANIA,0.82,75.92,10.98,23905.77,19237691.0,84.0,43.0,0.55,1.0,11720000.0,555.1
BARBADOS,0.81,79.08,10.56,15912.28,287375.0,668.0,40.0,0.31,1.0,680000.0,1183.84
URUGUAY,0.81,77.77,8.73,19434.85,3473730.0,20.0,36.0,0.96,1.0,3469000.0,1591.53
TURKEY,0.81,77.44,7.67,24905.38,84339067.0,110.0,32.0,0.76,1.0,45768000.0,444.65
MALAYSIA,0.8,76.0,10.16,27226.68,32365999.0,99.0,30.0,0.78,1.0,25832000.0,384.07
SEYCHELLES,0.8,73.33,9.67,25076.87,98347.0,214.0,34.0,0.56,1.0,362000.0,791.66
SERBIA,0.8,75.85,11.18,15217.7,8737371.0,100.0,42.0,0.56,1.0,1711000.0,528.55
TRINIDAD AND TOBAGO,0.8,73.38,11.03,28497.37,1399488.0,273.0,36.0,0.52,1.0,375000.0,1124.09
MAURITIUS,0.8,74.86,9.43,22724.23,1271768.0,626.0,37.0,0.41,0.9747,1399000.0,599.7
PANAMA,0.8,78.33,10.17,20454.87,4314767.0,58.0,30.0,0.68,1.0,1785000.0,1112.3
COSTA RICA,0.79,80.1,8.67,14789.93,5094118.0,100.0,33.0,0.8,1.0,3017000.0,869.08
GEORGIA,0.79,73.6,12.81,9569.52,3989167.0,57.0,38.0,0.58,1.0,4757000.0,293.05
SRI LANKA,0.78,76.81,11.05,11610.91,21413249.0,341.0,34.0,0.18,0.9958,2334000.0,159.48
CUBA,0.78,78.73,11.75,7811.36,11326616.0,106.0,42.0,0.78,1.0,4684000.0,987.63
ANTIGUA AND BARBUDA,0.78,76.89,9.26,22201.23,97929.0,223.0,34.0,0.26,1.0,269000.0,673.86
BOSNIA AND HERZEGOVINA,0.77,77.26,9.69,12689.68,3280819.0,64.0,43.0,0.52,1.0,1053000.0,460.47
MEXICO,0.77,74.99,8.6,17628.12,128932753.0,66.0,29.0,0.84,1.0,41313000.0,494.68
THAILAND,0.76,76.93,7.73,16128.55,69799978.0,137.0,40.0,0.51,1.0,38178000.0,247.04
GRENADA,0.76,72.38,8.8,12683.83,112523.0,331.0,32.0,0.35,0.9529000000000001,185000.0,497.24
BRAZIL,0.76,75.67,7.84,14068.05,212559417.0,25.0,33.0,0.88,1.0,6621000.0,928.8
COLOMBIA,0.76,77.11,8.33,12895.59,50882891.0,46.0,31.0,0.8,0.9994,3904000.0,459.2
ARMENIA,0.76,74.94,11.79,9277.23,2963243.0,104.0,35.0,0.63,1.0,1652000.0,407.64
ALGERIA,0.76,76.69,7.99,13639.43,43851044.0,18.0,29.0,0.73,1.0,2657000.0,258.49
NORTH MACEDONIA,0.76,75.69,9.68,12873.75,2083374.0,83.0,39.0,0.59,1.0,707000.0,328.42
PERU,0.76,76.52,9.22,12322.66,32971854.0,26.0,31.0,0.79,0.9520000000000001,4419000.0,332.57
CHINA,0.76,76.7,7.9,16126.57,1439323776.0,153.0,38.0,0.61,1.0,62900000.0,440.83
ECUADOR,0.76,76.8,8.99,10141.15,17643054.0,71.0,28.0,0.63,1.0,2535000.0,518.03
AZERBAIJAN,0.75,72.86,10.48,15240.14,10139177.0,123.0,32.0,0.56,1.0,2633000.0,275.81
UKRAINE,0.75,71.95,11.34,7994.21,43733762.0,75.0,41.0,0.69,1.0,14104000.0,177.41
DOMINICAN REPUBLIC,0.74,73.89,7.94,15074.26,10847910.0,225.0,28.0,0.85,1.0,6569000.0,433.21
TUNISIA,0.74,76.5,7.17,10676.96,11818619.0,76.0,33.0,0.7,0.998,8299000.0,250.56
MONGOLIA,0.73,69.69,10.17,10783.71,3278290.0,2.0,28.0,0.67,0.981,529000.0,148.78
LEBANON,0.73,78.88,8.7,11136.25,6825445.0,667.0,30.0,0.78,1.0,1964000.0,719.44
JAMAICA,0.73,74.37,9.8,7931.52,2961167.0,273.0,31.0,0.55,0.9893000000000001,2473000.0,307.2
FIJI,0.72,67.34,10.88,9110.44,896445.0,49.0,28.0,0.59,0.9959,870000.0,188.41
PARAGUAY,0.72,74.13,8.45,11719.96,7132538.0,18.0,26.0,0.62,1.0,1181000.0,381.11
JORDAN,0.72,74.4,10.45,8267.81,10203134.0,115.0,24.0,0.91,0.9990000000000001,4150000.0,340.66
BELIZE,0.72,74.5,9.8,7135.97,397628.0,17.0,25.0,0.46,0.9954000000000001,489000.0,280.5
MALDIVES,0.72,78.63,6.82,12549.26,540544.0,1802.0,30.0,0.35,1.0,1484000.0,1006.94
TONGA,0.72,70.8,11.21,5782.57,105695.0,147.0,22.0,0.24,0.9889,54000.0,222.02
PHILIPPINES,0.71,71.1,9.39,9539.7,109581078.0,368.0,26.0,0.47,0.9486,7168000.0,132.9
MOLDOVA,0.71,71.81,11.56,6833.11,4033963.0,123.0,38.0,0.43,1.0,160000.0,191.19
UZBEKISTAN,0.71,71.57,11.52,6461.84,33469203.0,79.0,28.0,0.5,1.0,5346000.0,98.82
INDONESIA,0.71,71.51,7.98,11255.78,273523615.0,151.0,30.0,0.56,0.9851000000000001,15810000.0,114.97
SAMOA,0.71,73.19,10.59,5884.84,198414.0,70.0,22.0,0.18,1.0,164000.0,233.07
SOUTH AFRICA,0.7,63.86,10.24,11756.3,59308690.0,49.0,28.0,0.67,0.9123,10472000.0,499.24
BOLIVIA,0.7,71.24,9.02,6849.2,11673021.0,11.0,26.0,0.69,0.9559000000000001,1142000.0,220.27
VIETNAM,0.69,75.32,8.2,6220.27,97338579.0,314.0,32.0,0.38,1.0,15498000.0,129.58
MOROCCO,0.68,76.45,5.51,7479.59,36910560.0,83.0,30.0,0.64,1.0,12289000.0,161.01
GUYANA,0.67,69.77,8.47,7615.42,786552.0,4.0,27.0,0.27,0.9185,287000.0,230.53
EL SALVADOR,0.67,73.1,6.94,6973.46,6486205.0,313.0,28.0,0.73,1.0,1677300.0,282.49
TAJIKISTAN,0.66,70.88,10.67,3482.38,9537645.0,68.0,22.0,0.27,0.993,1035000.0,57.9
CABO VERDE,0.65,72.78,6.24,6513.49,555987.0,138.0,28.0,0.68,0.9359000000000001,710000.0,167.59
GUATEMALA,0.65,74.06,6.47,7377.92,17915568.0,167.0,23.0,0.52,0.9470000000000001,1781000.0,259.94
NICARAGUA,0.65,74.28,6.8,4789.84,6624554.0,55.0,26.0,0.57,0.8808,1256000.0,192.08
INDIA,0.65,69.42,6.45,6828.6,1380004385.0,464.0,28.0,0.35,0.9523999999999999,17423000.0,69.29
TIMOR-LESTE,0.63,69.26,4.54,7526.66,1318445.0,89.0,21.0,0.33,0.8559,75000.0,83.2
KIRIBATI,0.62,68.12,7.87,3917.43,119449.0,147.0,23.0,0.57,1.0,7100.0,171.42
BHUTAN,0.62,71.46,3.14,8609.12,771608.0,20.0,28.0,0.46,1.0,274000.0,96.8
ESWATINI,0.61,59.4,6.75,9359.11,1160164.0,67.0,21.0,0.3,0.765,782000.0,224.74
VANUATU,0.6,70.32,6.84,2807.86,307145.0,25.0,21.0,0.24,0.6186,116000.0,105.67
ZAMBIA,0.59,63.51,7.1,3581.89,18383955.0,25.0,18.0,0.45,0.3981,1072000.0,67.65
CAMBODIA,0.58,69.57,4.84,3597.4,16718965.0,95.0,26.0,0.24,0.9155,6201000.0,82.08
NEPAL,0.58,70.48,4.86,2748.2,29136808.0,203.0,25.0,0.21,0.9392,1173000.0,47.92
ANGOLA,0.57,60.78,5.13,5554.7,32866272.0,26.0,17.0,0.67,0.4326,218000.0,114.46
ZIMBABWE,0.56,61.2,8.34,2661.07,14862924.0,38.0,19.0,0.38,0.4104,2580000.0,110.15
SOLOMON ISLANDS,0.56,72.83,5.54,2026.72,686884.0,25.0,20.0,0.23,0.6667000000000001,27900.0,101.24
PAPUA NEW GUINEA,0.54,64.26,4.62,3685.8,8947024.0,20.0,22.0,0.13,0.5897,140000.0,61.46
COMOROS,0.54,64.12,4.91,2426.39,869601.0,467.0,20.0,0.29,0.8192,35900.0,58.76
TANZANIA,0.53,65.02,6.01,2805.12,59734218.0,67.0,18.0,0.37,0.3556,1378000.0,33.92
MADAGASCAR,0.52,66.68,6.1,1403.92,27691018.0,48.0,20.0,0.39,0.2591,291000.0,24.67
BENIN,0.52,61.47,3.77,2134.59,12123200.0,108.0,19.0,0.48,0.4153,295000.0,30.77
LESOTHO,0.52,53.7,6.35,3243.84,2142249.0,71.0,24.0,0.31,0.47,1173000.0,104.55
TOGO,0.51,60.76,4.95,1592.54,8278724.0,152.0,19.0,0.43,0.5135000000000001,573000.0,38.05
SUDAN,0.51,65.1,3.72,3961.62,43849260.0,25.0,20.0,0.35,0.5978,836000.0,193.79
HAITI,0.5,63.66,5.44,1664.89,11402528.0,414.0,24.0,0.57,0.45280000000000004,447000.0,62.35
MALAWI,0.49,63.8,4.63,1159.12,19129952.0,203.0,18.0,0.18,0.1802,871000.0,32.26
ETHIOPIA,0.47,66.24,2.8,1781.76,114963588.0,115.0,19.0,0.21,0.4498,849000.0,25.26
MOZAMBIQUE,0.45,60.16,3.54,1153.7,31255435.0,40.0,18.0,0.38,0.311,2743000.0,21.07
SIERRA LEONE,0.44,54.31,3.6,1381.3,7976983.0,111.0,19.0,0.43,0.261,57000.0,66.4
BURKINA FASO,0.43,61.17,1.59,1705.49,20903273.0,76.0,18.0,0.31,0.14400000000000002,144000.0,44.4
MALI,0.43,58.89,2.35,1965.39,20250833.0,17.0,16.0,0.44,0.509,14000.0,31.38
NIGER,0.38,62.02,2.03,912.04,24206644.0,19.0,15.0,0.17,0.17600000000000002,157000.0,29.26
