Dias desde o início da epidemia,Pernambuco,Piauí,Rio Grande do Norte,Rio Grande do Sul,Rondônia,Roraima,Santa Catarina,Sergipe,Tocantins,Bahia,Ceará,Espírito Santo,Goiás,Maranhão,Mato Grosso,Mato Grosso do Sul,Pará,Paraíba,Paraná,Acre,Alagoas,Amapá,Amazonas,Distrito Federal,Minas Gerais,Rio de Janeiro,São Paulo
Dia 1,2,3,1,1,1,2,2,1,1,1,9,1,3,1,1,2,1,1,6,3,1,1,2,1,1,1,1
Dia 2,2,4,1,2,3,2,3,5,1,2,10,1,3,2,2,2,1,1,6,3,1,1,2,1,1,2,1
Dia 3,7,4,1,4,3,2,5,6,1,2,19,1,4,2,6,4,2,1,6,4,1,1,3,1,1,3,1
Dia 4,8,6,1,4,5,8,6,7,2,2,24,1,4,8,7,6,2,1,12,7,1,1,7,1,1,15,2
Dia 5,8,6,6,8,5,8,7,10,5,3,68,1,9,8,9,7,4,1,14,11,1,1,11,2,2,24,2
Dia 6,18,8,9,19,6,10,7,15,7,3,84,1,10,8,11,9,5,2,23,11,1,2,26,2,2,25,2
Dia 7,19,8,13,31,6,12,14,16,7,7,125,1,12,10,11,12,5,3,36,17,1,2,32,2,4,63,2
Dia 8,28,9,14,43,6,16,21,16,7,9,164,2,15,13,18,16,7,5,43,21,1,3,47,8,6,66,2
Dia 9,31,10,14,69,6,16,40,18,8,10,185,2,18,15,25,21,13,6,54,23,4,4,54,14,14,119,3
Dia 10,33,11,19,77,8,16,57,19,9,14,211,4,19,21,28,21,16,10,60,23,6,8,67,19,19,186,6
Dia 11,37,18,28,96,9,16,68,22,9,27,237,4,21,30,41,24,18,14,70,25,7,8,81,34,29,233,10
Dia 12,42,18,68,112,9,26,86,24,10,31,282,8,23,51,44,24,20,14,97,25,7,10,111,42,38,305,13
Dia 13,42,19,77,162,10,30,109,27,11,34,322,8,29,70,60,25,26,17,106,34,8,11,140,87,55,370,16
Dia 14,46,19,82,190,10,37,122,32,12,41,359,11,35,80,60,28,34,18,125,41,10,12,151,108,83,421,16
Dia 15,48,22,92,197,11,42,149,32,12,55,382,13,38,87,76,31,41,21,137,42,11,19,175,117,128,493,19
Dia 16,57,24,106,200,14,42,163,36,12,63,401,16,49,95,78,36,49,29,152,43,11,29,200,138,130,558,30
Dia 17,68,24,176,230,18,42,184,39,13,79,445,26,56,132,90,44,75,32,160,45,12,32,229,161,133,600,46
Dia 18,73,26,215,254,23,49,197,40,16,91,563,26,56,171,108,48,82,34,185,46,14,39,260,195,153,657,65
Dia 19,77,31,246,305,26,52,219,42,17,108,658,33,60,229,112,51,86,35,229,46,17,51,311,201,189,708,152
Dia 20,87,38,254,316,28,63,235,44,19,123,745,40,65,272,121,53,123,36,258,48,17,107,417,241,205,832,164
Dia 21,95,40,261,386,32,75,247,45,19,127,960,40,73,293,123,60,154,41,307,50,18,110,532,260,231,992,240
Dia 22,106,41,263,410,34,79,281,46,23,156,1045,48,73,344,134,62,165,55,401,50,18,166,636,298,261,1074,286
Dia 23,136,44,289,418,42,83,301,48,23,176,1188,54,88,398,138,65,169,79,445,58,18,193,804,312,275,1246,396
Dia 24,176,51,339,468,69,113,356,53,23,217,1394,61,103,445,151,66,217,85,466,62,23,237,899,333,314,1394,396
Dia 25,201,58,376,501,73,114,379,58,25,246,1445,72,115,478,156,80,237,101,511,70,23,244,981,370,370,1461,631
Dia 26,223,75,399,555,92,142,417,71,26,267,1558,85,119,630,162,85,259,111,550,72,28,308,1049,400,397,1688,745
Dia 27,352,91,400,581,110,164,457,86,26,290,1668,97,133,695,171,89,310,136,621,77,31,342,1206,419,430,1938,810
Dia 28,401,102,463,636,128,201,501,92,27,336,1747,120,159,797,174,97,384,152,655,90,34,362,1275,456,498,2216,862
Dia 29,555,123,516,640,160,222,693,117,29,401,1935,139,179,1040,181,100,487,165,688,99,37,375,1484,468,525,2464,1052
Dia 30,684,144,561,653,199,244,717,118,31,437,2070,153,191,1205,181,101,557,195,750,101,37,400,1554,485,559,2607,1223
Dia 31,816,158,595,664,223,247,732,135,32,462,2291,166,209,1320,205,113,627,205,768,115,45,416,1719,503,614,2855,1406
Dia 32,960,186,608,685,250,280,776,145,33,515,2412,194,229,1396,220,115,641,236,803,135,48,435,1809,509,655,3221,1451
Dia 33,1154,206,646,720,290,297,826,154,34,568,2747,209,233,1604,241,121,685,245,816,142,48,466,1897,527,698,3410,1517
Dia 34,1284,217,708,762,328,304,853,175,35,616,3062,227,284,1757,246,131,902,263,845,163,58,492,2044,556,750,3743,2339
Dia 35,1484,256,754,792,364,345,884,211,36,640,3306,273,304,1951,249,143,1026,301,887,176,72,555,2160,592,806,3944,2981
Dia 36,1683,297,781,831,393,401,926,280,37,674,3485,300,318,2105,256,161,1195,345,960,195,83,648,2270,618,815,4349,3506
Dia 37,2006,331,825,854,413,407,962,453,43,723,3682,349,335,2223,263,168,1267,386,1002,214,89,689,2479,641,884,4543,4048
Dia 38,2193,364,832,869,433,425,975,517,50,776,4116,383,378,2410,292,171,1579,447,1022,227,110,821,2888,651,903,4675,4466
Dia 39,2459,408,857,904,502,426,1025,601,58,884,4702,430,393,2528,302,173,1745,499,1039,234,132,842,3194,688,958,4899,4620
Dia 40,2690,454,1086,918,585,519,1063,730,67,967,5121,463,403,2804,320,175,2070,543,1077,258,159,918,3635,727,1021,5306,4866
Dia 41,2908,513,1177,970,654,519,1091,772,79,1064,5667,557,421,3190,333,186,2219,633,1096,279,171,1016,3833,756,1077,5552,5682
Dia 42,3298,600,1297,1039,705,533,1115,898,116,1200,6260,734,438,3506,337,213,2319,698,1133,301,210,1080,3928,796,1154,6172,6708
Dia 43,3604,665,1366,1096,756,578,1170,998,137,1249,6783,935,453,3805,344,217,2586,814,1155,317,243,1121,4337,860,1189,6282,7480
Dia 44,3999,742,1392,1166,861,869,1209,1214,164,1377,6985,952,486,4040,366,234,2999,926,1171,354,324,1187,4801,875,1230,6828,8216
Dia 45,4507,784,1421,1208,943,932,1235,1438,191,1504,7409,1099,506,4227,385,238,3359,1034,1201,404,413,1482,5254,913,1283,7111,8419
Dia 46,4898,875,1536,1256,1098,1020,1337,1588,246,1645,7861,1195,573,4530,419,240,3727,1169,1286,487,501,1733,5723,959,1308,7944,8755
Dia 47,5358,949,1644,1350,1222,1124,1476,1771,267,1845,8000,1212,616,5028,464,249,3920,1219,1364,553,560,1931,6062,968,1419,8504,8895
Dia 48,5724,1051,1739,1420,1263,1202,1995,1800,303,1979,8309,1313,661,5389,502,255,4262,1361,1423,658,643,2046,6683,1012,1481,8869,9371
Dia 49,6194,1131,1821,1529,1302,1290,2085,2032,351,2116,8379,1351,705,5909,519,261,4756,1493,1464,733,777,2199,7313,1020,1548,9453,11043
Dia 50,6876,1233,1919,1619,1398,1295,2394,2268,423,2248,11040,1453,781,6765,545,266,5524,1657,1510,817,957,2322,8109,1125,1586,10166,11568
Dia 51,7334,1278,1930,1666,1460,1411,2104,2494,494,2356,11470,1665,808,7599,604,272,5935,1849,1533,943,1045,2493,9243,1189,1649,10546,12841
Dia 52,8145,1332,2033,1690,1612,1411,2346,2868,572,2564,12310,1711,825,8144,673,274,6519,2030,1581,1014,1226,2613,10099,1230,1758,11139,13894
Dia 53,8643,1443,2367,1768,1686,1500,2519,3135,688,2676,13888,1819,850,8526,734,283,7018,2156,1608,1177,1371,2671,10727,1313,1827,11721,14267
Dia 54,8863,1612,2537,2019,1794,1589,2623,3343,747,2867,15134,1944,861,9112,792,288,7348,2341,1647,1335,1441,2910,11925,1423,1935,12391,14580
Dia 55,9325,1784,2786,2100,1918,1706,2795,3566,828,3140,15879,2164,922,9801,857,311,8069,2525,1678,1447,1538,3005,12599,1546,2023,13295,15385
Dia 56,9881,1905,3004,2182,1963,1791,2917,3967,932,3315,16692,2538,1024,10739,901,326,9059,2777,1734,1460,1605,3428,12919,1605,2118,14156,15914
Dia 57,10824,2085,3138,2493,2043,1882,3082,4277,1029,3566,17599,2688,1027,11592,941,346,10344,3045,1809,1590,1703,3630,14168,1720,2347,15741,16740
Dia 58,11587,2252,3483,2542,2413,1988,3205,4734,1179,3734,18412,2913,1053,12492,1005,362,11479,3361,1859,1694,1867,3834,15816,1793,2452,16929,17826
Dia 59,12470,2287,3796,2576,2499,1988,3372,4922,1279,4040,19156,3104,1069,13238,1090,385,12626,3739,1873,1740,2033,3952,17181,1837,2605,17062,20004
Dia 60,13275,2440,4060,2808,2774,1988,3429,5131,1496,4301,21077,3208,1093,14198,1187,405,13464,4063,1930,1785,2170,4023,18392,2046,2770,17939,20715
Dia 61,13768,2637,4251,2917,3109,2296,3529,5314,1646,4528,23059,3351,1100,15114,1271,430,14201,4347,2023,1867,2258,4310,19677,2258,2943,18486,21696
Dia 62,14309,2852,4599,2997,3201,2439,3733,5448,1809,4818,23795,3540,1115,16058,1363,452,15467,4786,2091,1996,2343,4549,20328,2442,3123,18728,24041
Dia 63,14901,3074,4774,3101,3268,2439,3828,5735,1976,5174,24255,3714,1225,17212,1464,479,17177,5300,2167,2234,2580,5188,20913,2576,3237,19467,26158
Dia 64,15588,3258,5472,3695,3493,2564,4332,5912,2205,5558,26363,3988,1460,18767,1594,508,18929,5838,2272,2482,2761,5655,22132,2682,3320,19987,28698
Dia 65,16209,3390,5630,3734,3862,2682,4562,6156,2430,5808,28112,4242,1605,21191,1744,570,20532,6238,2316,2817,2972,6353,23704,2799,3435,21601,30374
Dia 66,18488,3550,6463,3735,4252,2959,4678,6462,2430,6204,30560,4412,1652,22786,1909,613,22697,6882,2390,3103,3212,6584,25367,2979,3733,22238,31174
Dia 67,19452,3720,7402,3750,4502,3098,4776,6805,2696,6547,31413,4599,1692,24278,2085,642,24125,7508,2519,3343,3593,6967,27038,3192,3950,26665,31772
Dia 68,20094,3966,8008,3798,4743,3299,5175,6999,2858,6955,34573,4819,1781,26145,2262,693,24815,7823,2656,3867,3816,7619,28802,3416,4196,27805,32187
Dia 69,21242,4243,8233,4973,4942,3474,5413,7233,3277,8128,35122,5087,1880,27979,2413,746,27366,8016,2855,4160,4031,8152,29867,3787,4474,30372,34053
Dia 70,22560,4503,9149,5473,5477,3692,5499,7555,3611,8314,35595,5401,2049,30482,2485,805,29882,8919,2985,4501,4319,8469,30282,4140,4611,32089,37853
Dia 71,23911,4745,9282,5918,5714,3850,5610,7989,3981,8443,36185,5813,2155,32620,2636,858,31671,10209,3147,4781,4437,9313,31949,4368,4695,33589,39928
Dia 72,25760,4931,9433,6336,6459,4143,6458,8200,4176,8881,37021,6198,2344,34639,2817,1023,35132,11132,3260,5251,4916,9602,33508,4618,4977,34533,41830
Dia 73,26786,5119,9449,6470,6862,4831,6607,8577,4345,11013,37275,6595,2435,35297,3029,1100,37296,12011,3384,5600,5302,9890,36146,4853,5286,37912,44411
Dia 74,27759,5506,10888,6559,7701,5238,6696,8972,4483,11197,37821,6744,2488,36625,3388,1186,37859,12862,3567,5841,5630,10511,38909,5271,5596,39298,45444
Dia 75,28366,5828,11027,6785,8110,5529,6875,9290,4698,11941,38395,7157,2515,38174,3593,1262,37961,13162,3768,6072,6214,11107,40560,5542,5995,40024,46131
Dia 76,28854,6064,11568,7048,8626,5768,7016,9727,5505,12557,47822,7693,2706,40629,3788,1356,40014,13695,4041,6219,6682,11551,41378,5948,6338,42398,47719
Dia 77,29919,6717,13234,8234,9220,6056,7372,10126,5644,13000,48489,8495,2906,43313,4033,1418,43652,14859,4300,6326,7058,12327,41774,6248,6668,44886,51097
Dia 78,30713,7105,13544,8843,9850,6347,8000,10615,5644,13899,50504,8878,3101,45470,4243,1489,46473,16018,4538,6465,7580,12773,43195,6638,6962,47953,54286
Dia 79,32255,7478,13789,9242,10547,6594,8530,11056,6052,14204,54683,9520,3521,47593,4504,1568,49473,17579,4752,6679,8056,13045,44347,6930,7516,52420,58378
Dia 80,33427,7621,14171,9332,11224,6712,8780,11534,6257,14566,56056,9918,3609,48537,4762,1646,53860,18579,4900,7021,8619,13294,46473,7210,8011,53388,61183
Dia 81,34450,7927,14214,9496,11632,6842,9037,12866,6529,15070,59795,10007,3726,49371,5086,1802,53860,19787,5235,7284,9223,13771,47666,7761,8686,54530,62345
Dia 82,34900,8359,15212,9919,11865,6875,9498,13968,6744,15963,62176,10365,4017,52069,5390,1925,54271,20310,5567,7525,10288,14623,48785,8300,9232,56732,63066
Dia 83,35508,8823,15690,10398,12180,6881,9660,15675,6931,16917,63575,10889,4486,53508,5739,1997,57570,20951,5895,7983,10837,15166,49269,8722,9630,59240,65995
Dia 84,36463,9337,15889,11010,13010,6935,10034,16310,6972,17626,64271,11484,4701,55680,6108,2132,60636,22452,6434,8127,11559,15683,49817,9474,10464,60932,69859
Dia 85,37507,9825,16039,11583,13567,7150,10532,16807,7137,18392,66218,12203,5102,57605,6390,2253,63405,24032,6693,8457,12407,16322,51234,9780,10670,63066,73739
Dia 86,38511,10153,19206,12037,13804,7421,10846,17338,7309,18898,69023,12903,5605,58859,6877,2324,65151,25370,6987,8746,13096,16512,52849,10510,10939,64533,76871
Dia 87,39361,10357,19290,12135,14353,7650,11285,17808,7573,21430,71947,13437,5770,59850,7361,2455,66328,26556,7121,9091,13939,16813,53989,11256,12010,67756,80558
Dia 88,40242,10881,19957,12250,14952,8037,11565,18449,7774,22451,74692,13690,5857,60592,8166,2597,68456,27454,7410,9295,14818,18024,55111,12020,13034,69499,82161
Dia 89,40705,11559,20075,12802,15181,8120,11742,18985,7956,23463,75784,14285,6302,62711,8725,2853,69224,28013,7934,9534,15706,18618,56026,12923,13995,72979,83625
Dia 90,41010,12099,21844,13619,15827,8188,12192,19384,8203,26419,76429,15151,6936,64735,9262,3001,71243,28668,8569,9642,16339,19387,56506,14208,14939,74373,86017
Dia 91,41935,12567,22738,14168,16499,10340,12594,19883,8354,27396,76833,16121,7380,66091,9776,3235,74192,30128,8818,9771,17193,19922,56777,15850,15703,75775,89483
Dia 92,42994,13813,23806,14384,17424,10803,12953,20353,8477,28250,79853,16894,7774,68500,10270,3433,76623,31712,9353,10003,18176,21574,58018,16623,15883,77784,95865
Dia 93,43872,14264,24253,14627,19271,11872,13165,21081,8766,28715,82169,18109,7926,69673,11017,3551,80072,33382,9706,10339,19200,21840,59547,16948,16102,78836,101556
Dia 94,44671,14476,24301,14661,19735,12911,13296,21908,9098,30481,85606,18950,7941,70059,11571,3785,82881,35093,9839,10664,20031,24862,60336,18090,17501,79572,107142
Dia 95,45261,15269,29784,15438,19820,13078,13360,23319,9425,32685,88132,19619,7960,70689,12601,4164,84654,36521,10690,10987,20887,26437,61341,19433,18448,80946,109698
Dia 96,45507,16227,30352,16471,20406,14341,13960,24421,9681,33891,90441,20659,10441,72021,13406,4274,86020,36784,11225,11263,22199,26919,62579,20507,20106,83343,111296
Dia 97,46427,17080,31964,17128,21251,14459,14402,24817,9966,34665,92397,21964,11836,73314,14128,4666,88636,37253,12059,11381,22926,27415,63090,21396,20614,86963,118295
Dia 98,47446,18023,32962,17822,21523,14641,15015,25411,10228,35788,92866,23391,12776,74925,14654,4990,91708,38999,12932,11539,23632,27662,63425,21959,21381,87317,123483
Dia 99,48626,18665,33487,18587,21970,15153,15573,26612,10359,36401,94708,24428,13665,76698,15328,5237,94036,39912,13821,11810,24867,27901,64808,22871,21728,93378,129200
Dia 100,49720,19158,34322,19138,22241,17583,16332,26612,10764,37620,98055,25502,14540,78115,16304,5391,96472,40824,14501,12022,25633,27985,66506,23684,22024,95537,134565
Dia 101,51118,19753,34645,19348,22957,18323,17108,28186,11222,39206,99578,26011,15450,78512,17401,5784,99313,42832,15124,12304,26906,28253,67267,25380,23347,96133,140549
Dia 102,52113,20422,35056,19710,23479,18769,17582,29761,11454,40926,103118,26469,15904,78969,18356,6201,100443,44242,15853,12644,27698,28492,68220,27140,24906,97572,143073
Dia 103,52494,22059,35897,20864,23920,18922,17937,30217,11736,41577,105270,27652,17085,80451,19540,6523,101207,44679,16963,12913,28657,28927,69022,28521,26052,100869,144593
Dia 104,52831,23307,36587,22009,24563,18948,19244,30718,12282,43922,107064,29030,18014,83256,20333,6913,103206,45057,17822,13058,29395,29153,69649,30902,27305,103493,150138
Dia 105,54022,24376,37137,23060,25067,19088,20921,31640,12476,45304,107593,30507,19280,86025,21081,7307,105853,46957,18672,13146,30246,29574,69893,32238,27641,105897,156316
Dia 106,55136,25561,38342,24114,25402,19284,21951,32490,12640,46279,108225,31772,20377,88214,22078,7527,108067,48175,19819,13253,31230,29809,70823,33227,28918,108497,162520
Dia 107,55804,26079,38704,25000,26000,20154,22947,33416,13004,47086,110483,33232,21441,89057,23506,7676,110411,49536,20742,13715,32065,29883,72284,34148,29897,108803,167900
Dia 108,57089,26511,39421,25243,26496,21220,23808,34713,13440,49084,114038,34238,21865,89714,24804,7965,112531,50765,21326,14048,32864,30004,73530,35368,31343,111298,172875
